,sentimen,before,after
519,positif,bnyk beramal jgn salahkan presiden otaknya gak bs jdi kurang enak n harga jualnya mahal jadinya sepi pembeli,bnyk beramal jgn salahkan presiden otaknya gak bs jdi kurang enak harga jualnya mahal jadinya sepi pembeli
523,negatif,tolol yng mengembangkan digital jangan yg busung lapar lah emang manusia indonesia cuma satu pakai pendekatan ekonomi makro bukan pakai satu dua kasus duit kan berputar dihasilkan di industri a kemudian diputar ke perbaikan busung lapar paham gak ente,tolol yng mengembangkan digital jangan yg busung lapar lah emang manusia indonesia cuma satu pakai pendekatan ekonomi makro bukan pakai satu dua kasus duit kan berputar dihasilkan di industri kemudian diputar ke perbaikan busung lapar paham gak ente
548,positif,ternyata ga cuma aku ya yg terheran coba lihat video closing statement tusuk prabowo sandi masa ngomongnya enak bener kalau pgn harga sembako murah tusuk p s kalau tdk pgn impor tusuk p s kayanya sorga bgt dah haha takut aja ntar kaya di venezuela,ternyata ga cuma aku ya yg terheran coba lihat video closing statement tusuk prabowo sandi masa ngomongnya enak bener kalau pgn harga sembako murah tusuk kalau tdk pgn impor tusuk kayanya sorga bgt dah haha takut aja ntar kaya di venezuela
554,positif,alhamdulillah bang sandi semoga bisa memimpin negeri ini bersama pak prabowo kami dukung kebijakan pak prabowo bersama bang sandi dalam memperbaiki ekonomi yg terpuruk dalam tahun terakhir salam dari kami agung s anfaunnas surabaya,alhamdulillah bang sandi semoga bisa memimpin negeri ini bersama pak prabowo kami dukung kebijakan pak prabowo bersama bang sandi dalam memperbaiki ekonomi yg terpuruk dalam tahun terakhir salam dari kami agung anfaunnas surabaya
562,negatif,terus pencabutan subsidi tu kmana larinya pembangunan infrastruktur kan hasil ngutang ekonomi yg ktanya meroket nyatanya macet yg jelas dipake korupsi partai pendukung khususnya pdip salut buat loe yg g perlu subsidi tapi apakah rakyat indonesia setara sama loe ekonominya,terus pencabutan subsidi tu kmana larinya pembangunan infrastruktur kan hasil ngutang ekonomi yg ktanya meroket nyatanya macet yg jelas dipake korupsi partai pendukung khususnya pdip salut buat loe yg perlu subsidi tapi apakah rakyat indonesia setara sama loe ekonominya
576,positif,selama ini presiden jokowi kunker keliling indonesia bagi buku sembako sepeda dll itu menggunakan dana taktis presiden senilai m jadi presiden tanpa gembar gembor menyumbangkan gaji udah menyumbang lebih dari nilai gaji yg hanya sekitar jt,selama ini presiden jokowi kunker keliling indonesia bagi buku sembako sepeda dll itu menggunakan dana taktis presiden senilai jadi presiden tanpa gembar gembor menyumbangkan gaji udah menyumbang lebih dari nilai gaji yg hanya sekitar jt
577,negatif,koalisi sendiri diserang h aneh dan juga nggak ambil gaji sementara dia pengusaha yg ada di otak kata untung,koalisi sendiri diserang aneh dan juga nggak ambil gaji sementara dia pengusaha yg ada di otak kata untung
606,negatif,berharap tiap bulan bulan ada pemilu terus jokowi nyalon terus lumayan kan bawa orang dapetnya x gaji umr jakarta wkwk uasdifitnah keji dan brutal bukansalahbapak,berharap tiap bulan bulan ada pemilu terus jokowi nyalon terus lumayan kan bawa orang dapetnya gaji umr jakarta wkwk uasdifitnah keji dan brutal bukansalahbapak
631,negatif,kepres dr pak jokowi tgl april hari libur nasional tolong lindungi hak kami untuk mencoblos pak di tempat kerja saya kok masih di suruh masuk krj pada april kalau tdk masuk krj d potong gaji kami tindak tegas pak bagi pengusaha yg tak taat kepres nya pak jokowi,kepres dr pak jokowi tgl april hari libur nasional tolong lindungi hak kami untuk mencoblos pak di tempat kerja saya kok masih di suruh masuk krj pada april kalau tdk masuk krj potong gaji kami tindak tegas pak bagi pengusaha yg tak taat kepres nya pak jokowi
638,negatif,pak jokowi yg terhormat april kan libur nasional kepres nya kan begitu tp d tempat kerja saya masih masuk kerja kalau gak masuk kerja pada april akan di potong gaji kita tolonglah tindak tegas bagi pengusaha pengusaha yg tdk taat kepres dan tolong lindungi hak kita pak,pak jokowi yg terhormat april kan libur nasional kepres nya kan begitu tp tempat kerja saya masih masuk kerja kalau gak masuk kerja pada april akan di potong gaji kita tolonglah tindak tegas bagi pengusaha pengusaha yg tdk taat kepres dan tolong lindungi hak kita pak
659,positif,dg bangga membangkitkan kembali usaha ekonomi kerakyatan gerakan bisa kerja gerakan harga murah dialog wirausaha bersama bang indrauno mak swul ketum penggerak pepes okoce lokasi muding denpasar titik ke pepesofficial b fjakarta prabowo sandiuno pepesbali,dg bangga membangkitkan kembali usaha ekonomi kerakyatan gerakan bisa kerja gerakan harga murah dialog wirausaha bersama bang indrauno mak swul ketum penggerak pepes okoce lokasi muding denpasar titik ke pepesofficial fjakarta prabowo sandiuno pepesbali
664,positif,byk senjata yg bisa dipakai buat men skak mat dua apalg urusan pajak tp p jokowi berusaha tetep didlm jalur gemes,byk senjata yg bisa dipakai buat men skak mat dua apalg urusan pajak tp jokowi berusaha tetep didlm jalur gemes
681,positif,jangankan di singapore ci pas w ke yurop aja ditanya asalnya dari mana dan kite jawab from indonesia mereka responnya langsung ooh jokowi jokowi pak jokowi itu dikenal dan dihargai di ln,jangankan di singapore ci pas ke yurop aja ditanya asalnya dari mana dan kite jawab from indonesia mereka responnya langsung ooh jokowi jokowi pak jokowi itu dikenal dan dihargai di ln
698,positif,pak prabowo dan bang sandi janji ga akan ambil gaji yuk kita hitung gambar dibawah tinggal di kali tahun berapa m tuh uasdifitnah keji dan brutal,pak prabowo dan bang sandi janji ga akan ambil gaji yuk kita hitung gambar dibawah tinggal di kali tahun berapa tuh uasdifitnah keji dan brutal
708,positif,saya menghargai perbedaan kalian dn insyaallah saya yakin seyakinny saya tetap memilih no urut satu bpk presiden jokowi dodo k h maruf amin amin ya robalalamin,saya menghargai perbedaan kalian dn insyaallah saya yakin seyakinny saya tetap memilih no urut satu bpk presiden jokowi dodo maruf amin amin ya robalalamin
722,netral,pak jokowi lebih fokus ke unicorn mobile legend padahal semua itu malah berdampak buruk buat generasi muda kita betul kata prabowo kita harus fokus d ekonomi ecomerece pun sebenarnya meperburuk ekonomi karena memutus mata rantai distribusi sehingga org kecil gk dpt bagian,pak jokowi lebih fokus ke unicorn mobile legend padahal semua itu malah berdampak buruk buat generasi muda kita betul kata prabowo kita harus fokus ekonomi ecomerece pun sebenarnya meperburuk ekonomi karena memutus mata rantai distribusi sehingga org kecil gk dpt bagian
757,positif,setuju sama mba n alfah jujur aku kagum sama uah sama ilmu dan tutur katanya dan aku hargain pilihan beliau itu haknya tp kalo soal masuk surga kan beda ya padahal beliau selalu ngingetin kita bukan siapa siapa gada jaminan kita langsung masuk surga jadi agak gimana gituh,setuju sama mba alfah jujur aku kagum sama uah sama ilmu dan tutur katanya dan aku hargain pilihan beliau itu haknya tp kalo soal masuk surga kan beda ya padahal beliau selalu ngingetin kita bukan siapa siapa gada jaminan kita langsung masuk surga jadi agak gimana gituh
779,negatif,klo ekonomi g naik bgmn masyarakat bisa tumbuh aplgi merata krn anda jadi presiden hutang meningkat dan kami rakyat indonesia harus membayarnya secara merata rakyat dapat kartu pra kerja tapi tka china yg dapat kerjaan please kami sudah muak dgn anda,klo ekonomi naik bgmn masyarakat bisa tumbuh aplgi merata krn anda jadi presiden hutang meningkat dan kami rakyat indonesia harus membayarnya secara merata rakyat dapat kartu pra kerja tapi tka china yg dapat kerjaan please kami sudah muak dgn anda
801,negatif,jokowi apa yang akan bapak lakukan untuk pengembangan e sport mobile legend kedepan prabowo tingkatkan produksi pertanian tingkatkan kualitas buruh turunkan harga itu yang akan saya fokus gw,jokowi apa yang akan bapak lakukan untuk pengembangan sport mobile legend kedepan prabowo tingkatkan produksi pertanian tingkatkan kualitas buruh turunkan harga itu yang akan saya fokus gw
819,positif,mobile legend bagian dr e sport di game online klo diangkat ke debat capres tentu artinya penting dlm scope ekonomi kreatif dan pentingnya pengadaan platform internet oleh pemerintah it makes sense jokowi visioner pak,mobile legend bagian dr sport di game online klo diangkat ke debat capres tentu artinya penting dlm scope ekonomi kreatif dan pentingnya pengadaan platform internet oleh pemerintah it makes sense jokowi visioner pak
829,positif,nyo buka youtube dngerin sekali lg yg ditanyain pak jokowi yg jd pembahasan awal kan bkn masalah e sport tapi pokok utamanya adl ekonomi digital dan mobile legend cm jadi salah satu contoh,nyo buka youtube dngerin sekali lg yg ditanyain pak jokowi yg jd pembahasan awal kan bkn masalah sport tapi pokok utamanya adl ekonomi digital dan mobile legend cm jadi salah satu contoh
837,negatif,coba cek ktp anda ada tulisan status ekonomi ngga kaya atau miskin trus status pekerjaan atau pengangguran alamat rumah asli atau kontrakan karena itulah kita butuh kartu lain sebelum e ktp disempurnakan kalian koq gampang ditipu sih polos atau bego,coba cek ktp anda ada tulisan status ekonomi ngga kaya atau miskin trus status pekerjaan atau pengangguran alamat rumah asli atau kontrakan karena itulah kita butuh kartu lain sebelum ktp disempurnakan kalian koq gampang ditipu sih polos atau bego
873,negatif,aku mau bertanya kenapa pak prabowo gak bisa jawab sendiri tentang pentingnya e sport bagi perekonomian indonesia,aku mau bertanya kenapa pak prabowo gak bisa jawab sendiri tentang pentingnya sport bagi perekonomian indonesia
884,netral,selama th saya dgn pak jk telah berusaha keras berjuang keras dlm rangka mengembalikan watak asli dari pembangunan di negara kita indonesia yaitu tdk bertumpu d prtmbuhan ekonomi sjtp bertumpu pemerataan krna prtmbuhan ekonomi kata jokowi memaparkan visi misi pd debat ke,selama th saya dgn pak jk telah berusaha keras berjuang keras dlm rangka mengembalikan watak asli dari pembangunan di negara kita indonesia yaitu tdk bertumpu prtmbuhan ekonomi sjtp bertumpu pemerataan krna prtmbuhan ekonomi kata jokowi memaparkan visi misi pd debat ke
888,positif,argumen jokowi sangat make sense drpd yg satu itu setiap debat kata si a di daerah ini si b di daerah itu ini sangat ketauan yg satu itu tdk paham ekonomi negara dan skrg minta rakyat milih dia yg hanya paham ekonomi sebatas perusahaan jgn membodoi warga dgn kata ibu ini itu,argumen jokowi sangat make sense drpd yg satu itu setiap debat kata si di daerah ini si di daerah itu ini sangat ketauan yg satu itu tdk paham ekonomi negara dan skrg minta rakyat milih dia yg hanya paham ekonomi sebatas perusahaan jgn membodoi warga dgn kata ibu ini itu
890,negatif,dr ini aja kita dah bisa ambil kesimpulan klo ulama jg ustad y itu berbayar dn mulut y disogok smua cuma prabowo jg hrus dong byr gaji karyawan y jgn hny krn ingin jd ri satu suap orang sana sini smntara bkas karyawan y kelaparan dgn anak istri y tul g fahrihamzah fadlizon,dr ini aja kita dah bisa ambil kesimpulan klo ulama jg ustad itu berbayar dn mulut disogok smua cuma prabowo jg hrus dong byr gaji karyawan jgn hny krn ingin jd ri satu suap orang sana sini smntara bkas karyawan kelaparan dgn anak istri tul fahrihamzah fadlizon
895,netral,ekonom csis fajar b hirawan menjelaskan faktor eksternal lebih menyebabkan mengapa pertumbuhan ekonomi dalam jangka waktu tahun ke depan sulit untuk dicapai hoax sandiaga sandiwara uno jokowi menang total debat salamsatujempol prabowo debatpilpres prabowosandi,ekonom csis fajar hirawan menjelaskan faktor eksternal lebih menyebabkan mengapa pertumbuhan ekonomi dalam jangka waktu tahun ke depan sulit untuk dicapai hoax sandiaga sandiwara uno jokowi menang total debat salamsatujempol prabowo debatpilpres prabowosandi
909,positif,sejujurnya w setuju sih gimana ya debat terakhir kemarin itu adalah debat capres pertama yang w tonton dan menurutku meskipun pak jokowi ngomongnya e e gitu tp dia tuh ngerti teori semacam ekonomi mikro makro gmn penanganannya dsb bangga,sejujurnya setuju sih gimana ya debat terakhir kemarin itu adalah debat capres pertama yang tonton dan menurutku meskipun pak jokowi ngomongnya gitu tp dia tuh ngerti teori semacam ekonomi mikro makro gmn penanganannya dsb bangga
926,positif,yup nah kalo gini diskusinya enak ya tambahan dr sy tidak sekadar ukuran ttp juga kualitasnya atau tingkat prioritasnya misal target pemerataan pembangunan d luar pulau jawa mgkn mjd prior krn pemerintah ingin menumbuhkan bibit pertumbuhan ekonomi yg baru di sana,yup nah kalo gini diskusinya enak ya tambahan dr sy tidak sekadar ukuran ttp juga kualitasnya atau tingkat prioritasnya misal target pemerataan pembangunan luar pulau jawa mgkn mjd prior krn pemerintah ingin menumbuhkan bibit pertumbuhan ekonomi yg baru di sana
949,negatif,emg siapa yg nyuruh makan aspal ada trus sby gaji guru dan honorer d naikan prabowo juga pdhal peran penting adalah pertanian dan petani buruh tani guru bisa nyediain beras dan bahan makan yg lain semua petani klw petani ga sejahtera trs ngambek gmw nanam gmna km ta,emg siapa yg nyuruh makan aspal ada trus sby gaji guru dan honorer naikan prabowo juga pdhal peran penting adalah pertanian dan petani buruh tani guru bisa nyediain beras dan bahan makan yg lain semua petani klw petani ga sejahtera trs ngambek gmw nanam gmna km ta
958,positif,buat saya jokowi itu sudah harga mati pantas saja rakyak nya menyukai anda karna orang itu bisa melihat n memilih mana yg baik n mna yg buruk dsto lah anda orang nya yg mampu membawa mereka kedepan dngan negara ini salam dua periode dri saya zaenal arip,buat saya jokowi itu sudah harga mati pantas saja rakyak nya menyukai anda karna orang itu bisa melihat memilih mana yg baik mna yg buruk dsto lah anda orang nya yg mampu membawa mereka kedepan dngan negara ini salam dua periode dri saya zaenal arip
978,positif,kl bicara jujur prabowo wajib katakan lbh detail kl arah ekonomi pembangunan nkri sdh salah dr rezim soeharto pelihara pengusaha china dgn membunuh pengusaha pribumi h ning markam karkam darpo rahman percaya bisikan csis,kl bicara jujur prabowo wajib katakan lbh detail kl arah ekonomi pembangunan nkri sdh salah dr rezim soeharto pelihara pengusaha china dgn membunuh pengusaha pribumi ning markam karkam darpo rahman percaya bisikan csis
982,negatif,udah ekonomi tidak tumbuh pemerataan semakin jauh e ketimpangan semakin tinggi piye iki boss bacot doang,udah ekonomi tidak tumbuh pemerataan semakin jauh ketimpangan semakin tinggi piye iki boss bacot doang
993,negatif,kalau ngomongin e sports seharusnya pak jokowi sadar kalau harga build pc mahalnya minta ampun turunin dollar dulu coba biar anak indo gampang dapat pc bagus,kalau ngomongin sports seharusnya pak jokowi sadar kalau harga build pc mahalnya minta ampun turunin dollar dulu coba biar anak indo gampang dapat pc bagus
