,sentimen,before,after
24,positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦. https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦
26,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦. https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦"
27,negatif,"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno","Model ngeles petruk Sudah ketaker Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni , lha juragannya kyk gini pek*k nya ..ðŸ˜¢ðŸ˜¬ UASdifitnah Keji Balas Di TPS @prabowo @sandiuno"
28,positif,"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS","Dengan memilih 02 kita sudah bersodakoh, karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI SAVE_UAS"
29,positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin.. Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung Prabowo Sandi 02Menang Adil Makmur
30,netral,"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS","No. 5 donk mang. Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil UASdifitnah Keji Balas Di TPS UASdifitnah Keji Balas Di TPS"
31,negatif,@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,@DivHumas_Polri Gakan di ladenin sama pak pulisi Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!! lapor nya nanti aja tunggu udah ganti presiden UASdifitnah Keji Dan Brutal UASdifitnah Keji Dan Brutal UASdifitnah Keji Dan Brut
33,positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ ","Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi 2019Jokowi Kyai Maruf 1Periode Lagi Untuk Jokowi Pesona Bono Surfing https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ"
38,positif,"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦","Pilih Orang Baik Pilih Yg Jelas Islamnya Pilih Yg Baju Putih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya. https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
39,positif,"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]","Bersatu Bersama Jokowi-KMA. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]"
41,netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal","Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah , Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , UASdifitnah Keji Dan Brutal"
42,netral,"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi","Gameof Thrones Winter is coming Pidato Jokowi di IMF Bank Dunia Ibaratkan Ekonomi Dunia seperti Game Of Thrones Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™ http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ 2019Tetap Jokowi pic.twitter.com/B8bZPjbFFi"
43,positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l","@VidiaAmanda3 17 April Pilih Jokowi-KMA. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan. https://bit.l"
44,netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ 01Optimis Indonesia Maju pic.twitter.com/Gudihikymw
45,negatif,#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian,UAHUASUAHUAS ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... 2019Ganti Pengajian
49,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya. https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
52,netral,"gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih","gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â Pilih Orang BaikÂ Pilih Jelas IslamnyaÂ Pilih Baju Putih"
54,positif,"Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah.   https://bit.ly/2Zbe65vÂ  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih","Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah. https://bit.ly/2Zbe65vÂ Pilih Orang Baik Pilih Yg Jelas Islamnya Pilih Yg Baju Putih"
55,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ ","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan. https://bit.ly/2IpbIDdÂ"
56,negatif,#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,Populer B1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi http://brt.st/6b4KÂ
57,positif,"Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]","Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. Pilih Orang Baik Pilih Yg Jelas Islamnya Pilih Yg Baju Putih https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]"
59,positif,"@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih","@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih"
60,positif,#Repost from sandiuno (repost_media_app)  Prabowo-Sandi tidak ingin gagal fokus. Kita ingin pembangunan besar-besaran ini berdampak langsung pada ekonomi dan kesejahteraanâ€¦  https://www.instagram.com/fely_irzahn/p/BwQN4Ubgziz/?utm_source=ig_twitter_share&igshid=4xvs93h4zmduÂ â€¦,Repost from sandiuno (repost_media_app) Prabowo-Sandi tidak ingin gagal fokus. Kita ingin pembangunan besar-besaran ini berdampak langsung pada ekonomi dan kesejahteraanâ€¦ https://www.instagram.com/fely_irzahn/p/BwQN4Ubgziz/?utm_source=ig_twitter_share&igshid=4xvs93h4zmduÂ â€¦
63,netral,"Jokowi menambahkan, capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105782861150314496/photo/1 pic.twitter.com/y4PFLSTk8lÂ ","Jokowi menambahkan, capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak 2019Jokowi Kyai Maruf https://twitter.com/Tagar_Nusantara/status/1105782861150314496/photo/1 pic.twitter.com/y4PFLSTk8lÂ"
64,positif,"Janji Tak Ambil Gaji Jika Menang Pilpres, Prabowo: Bukti Kita Tulus  https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Facebook#Echobox=1555173787Â â€¦","Janji Tak Ambil Gaji Jika Menang Pilpres, Prabowo: Bukti Kita Tulus https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Facebook#Echobox=1555173787Â â€¦"
67,positif,"gue kasih tau..Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â  https://bit.ly/2IpbIDdÂ Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih","gue kasih tau..Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â https://bit.ly/2IpbIDdÂ Â Pilih Orang BaikÂ Pilih Jelas IslamnyaÂ Pilih Baju Putih"
69,positif,"Jokowi menjelaskan, pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan. Dengan demikian, kekuatan ekonomi Indonesia bisa lebih stabil #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105659138061688838/photo/1 pic.twitter.com/XYt9VIWpRJÂ ","Jokowi menjelaskan, pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan. Dengan demikian, kekuatan ekonomi Indonesia bisa lebih stabil 2019Jokowi Kyai Maruf https://twitter.com/Tagar_Nusantara/status/1105659138061688838/photo/1 pic.twitter.com/XYt9VIWpRJÂ"
70,netral,"gue kasih tau..Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih","gue kasih tau..Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â Pilih Orang BaikÂ Pilih Jelas IslamnyaÂ Pilih Baju Putih"
71,positif,"#PilihOrangBaik#PilihJelasIslamnya #PilihBajuPutih  Presiden @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Presiden @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter. http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦"
72,positif,"Bersatu Menangkan @Jokowi #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Brbagai upaya telah dilakukan utk membangun Indonesia bebas korupsi, dr pelayanan berbasis elektronik, sistem pengaduan masyarakat, penghargaan bg masyarakat yg mengungkap korupsi.","Bersatu Menangkan @Jokowi Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Brbagai upaya telah dilakukan utk membangun Indonesia bebas korupsi, dr pelayanan berbasis elektronik, sistem pengaduan masyarakat, penghargaan bg masyarakat yg mengungkap korupsi."
73,negatif,Leres pakdhe :)  Salah satu aspek penting dari faktor ekonomi yg bertumbuh adalah stabilitas politik dalam negeri yg ditunjukkan dg adanya kepastian dan keadilan dalam penegakan hukum. Jadi pripun kabare ðŸ‘‰ #duatahunnovel pakde @jokowi ðŸ˜Šâ˜º,Leres pakdhe :) Salah satu aspek penting dari faktor ekonomi yg bertumbuh adalah stabilitas politik dalam negeri yg ditunjukkan dg adanya kepastian dan keadilan dalam penegakan hukum. Jadi pripun kabare ðŸ‘‰ duatahunnovel pakde @jokowi ðŸ˜Šâ˜º
76,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.    http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter. http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦"
81,positif,"Fyi gaes...Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih","Fyi gaes...Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â Pilih Orang BaikÂ Pilih Jelas IslamnyaÂ Pilih Baju Putih"
82,netral,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦
86,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.ly/2UB5N4gÂ ","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan. https://bit.ly/2UB5N4gÂ"
87,negatif,"Kami moslem, kami menghormati dan menghargai umat agama Laen. Kami cinta damai karena Islam mengajarkan utk berbuat baik kpd semua manusia tanpa terkecuali. Dan kamipun pendukung 02. Bhineka tunggal Ika  #UASdifitnahKejiDanBrutal","Kami moslem, kami menghormati dan menghargai umat agama Laen. Kami cinta damai karena Islam mengajarkan utk berbuat baik kpd semua manusia tanpa terkecuali. Dan kamipun pendukung 02. Bhineka tunggal Ika UASdifitnah Keji Dan Brutal"
