,sentimen,before,after
14,netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,","terlalu berat nge bahas ekonomi dgn angka2.. cukup bahas mobil lejen aj,"
15,netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘","mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðÿ‘ðÿ‘ðÿ‘"
16,positif,Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti ! pic.twitter.com/4VPqiGzAcq,pilih orang baik pilih jelas islamnya pilih baju putih pentingnya sisi industri kreatif dan inovatif di era industri global. membuat jokowi tergerak untuk mengubah badan ekonomi kreatif (bekraf) menjadi sebuah kementerian . coblos 01 yuk kerja pasti ! pic.twitter.com/4vpqigzacq
17,positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam UASdifitnah Keji Dan Brutal UASdifitnah Keji Balas Di TPS","dalam 16 pakta integritas antara prabowo sandi dan ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam uasdifitnah keji dan brutal uasdifitnah keji balas di tps"
18,netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­","saya dengar pak, mbak vidya, dari curup. dulu beli lipstik purbasari harga 25 ribu. tapi sekarang beli lipstik nyx gak cukup 25 ribu ðÿ˜­"
19,positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,prabowo sejak jadi tni puluhan tahun nggak dia ambil gajinya serupiah pun. sandi sejak jadi wagub jg demikian . susah ya cari orang seperti mereka?? yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/ux372njznw
20,netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦,assalamu'alaikum.  saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah. semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. semoga allah swt mengabulkan itu. aamiin ya rabb https://twitter.com/sandiuno/status/1117101696696455173â â€¦
21,negatif,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji - Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !! https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦","jika terpilih, prabowo-sandiaga janji tak ambil gaji - kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !! https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=twitter#echobox=1555171378â â€¦"
22,negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .jika tdk maka 02 akan gagal.ayo semua  tirakat/ munajad.in
23,positif,Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan 17April Tusuk Prabowo Sandi,prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan 17april tusuk prabowo sandi
24,positif,Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦. https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,pilih orang baik pilih jelas islamnya pilih baju putih kepercayaan hanya diberikan pd mrk yg berpengalaman. seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. coblos yuk 01 yaâ€¦. https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlâ â€¦
25,negatif,"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***","ummat islam yg waras dan cerdas pasti senang beramal,coblos prabowo  anda ikut andil dlm beramal , gaji beliau tdk diambil  tp untk amal***"
26,positif,"Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦. https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦","pilih orang baik pilih jelas islamnya pilih baju putih keberhasilan tidak hanya dibidang infrastruktur, jokowi jg berhasil memperbaiki ekonomi indonesia. coblos yuk 01 yaâ€¦. https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328â â€¦"
27,negatif,"Model ngeles petruk Sudah ketaker Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni , lha juragannya kyk gini pek*k nya ..ðŸ˜¢ðŸ˜¬ UASdifitnah Keji Balas Di TPS @prabowo @sandiuno","model ngeles petruk sudah ketaker ber-busa2 didepan sandi ngomongin ekonomi makro dg congkaknya untung sandi nya sabar gak di kick balik pantesan menteri2nya yg pintar2 pada mbodoni , lha juragannya kyk gini pek*k nya ..ðÿ˜¢ðÿ˜¬ uasdifitnah keji balas di tps @prabowo @sandiuno"
28,positif,"Dengan memilih 02 kita sudah bersodakoh, karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI SAVE_UAS","dengan memilih 02 kita sudah bersodakoh, karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. jadikan prabowo sandi presiden dan wakil presiden ri save_uas"
29,positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin.. Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung Prabowo Sandi 02Menang Adil Makmur,alhamdulillah capres 02 mau sedekahkan gajinya untuk rakyat miskin.. disini kami korban2 gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung prabowo sandi 02menang adil makmur
30,netral,"No. 5 donk mang. Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil UASdifitnah Keji Balas Di TPS UASdifitnah Keji Balas Di TPS","no. 5 donk mang. dan sayah percaya, semua saudara seperjuangan 02, ikhlas hanya ingin negeri ini berubah jauh lebik baik lg dari sekarang. masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil uasdifitnah keji balas di tps uasdifitnah keji balas di tps"
31,negatif,@DivHumas_Polri Gakan di ladenin sama pak pulisi Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!! lapor nya nanti aja tunggu udah ganti presiden UASdifitnah Keji Dan Brutal UASdifitnah Keji Dan Brutal UASdifitnah Keji Dan Brut,@divhumas_polri gakan di ladenin sama pak pulisi karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama rakyat!!! lapor nya nanti aja tunggu udah ganti presiden uasdifitnah keji dan brutal uasdifitnah keji dan brutal uasdifitnah keji dan brut
32,negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦","baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. tolol dipelihara, dasar ebong  https://twitter.com/akuntofa/status/1117528741809229824â â€¦"
33,positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi 2019Jokowi Kyai Maruf 1Periode Lagi Untuk Jokowi Pesona Bono Surfing https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ","memang tidak bisa kita menghendaki harga cabai sampai rp 10.000, harga bawang sampai rp 5.000, petaninya yang kasihan, kata jokowi 2019jokowi kyai maruf 1periode lagi untuk jokowi pesona bono surfing https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/napi0soreiâ"
34,netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com,presiden jokowi dan raja salman sepakat tingkatkan kerjasama ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/â â€¦ via @apahabar.com
35,negatif,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu prabowo bahlull
36,positif,Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube,tak akan terima gaji sbg presiden dan wapres. akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa indonesia..  debat pilpres: pernyataan penutup prabowo-sandiaga uno  https://youtu.be/rmqzsqn-u3câ  lewat @youtube
37,positif,"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.","kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr semua warga negara dan setiap lewat pun harus bayar."
38,positif,"Pilih Orang Baik Pilih Yg Jelas Islamnya Pilih Yg Baju Putih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya. https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦","pilih orang baik pilih yg jelas islamnya pilih yg baju putih ada beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya. https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanâ â€¦"
39,positif,"Bersatu Bersama Jokowi-KMA. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]","bersatu bersama jokowi-kma. pilih orang baik pilih jelas islamnya pilih baju putih berbagai pencapaian telah berhasil tercapai. khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -jk, sangat jauh meningkat. https://www.youtube.com/watch?v=p8qvuqcf9ioâ â€¦]"
40,netral,Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci,orang luar negeri sangat menghargai prestasi yg sudah dilakukan jokowi tetapi dinegaranya sendiri banyak yg mencaci
41,netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah , Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , UASdifitnah Keji Dan Brutal","maaf pak , rakyat tdk butuh pelukan , rakyat butuh harga sembako murah , listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , uasdifitnah keji dan brutal"
42,netral,"Gameof Thrones Winter is coming Pidato Jokowi di IMF Bank Dunia Ibaratkan Ekonomi Dunia seperti Game Of Thrones Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™ http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ 2019Tetap Jokowi pic.twitter.com/B8bZPjbFFi","gameof thrones winter is coming pidato jokowi di imf bank dunia ibaratkan ekonomi dunia seperti game of thrones game of throneâ€™, presiden jokowi: penting, kekuatan bersama untuk kalahkan â€˜evil winterâ€™ http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/â â€¦ â€¦ 2019tetap jokowi pic.twitter.com/b8bzpjbffi"
43,positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan. https://bit.l","@vidiaamanda3 17 april pilih jokowi-kma. pilih orang baik pilih jelas islamnya pilih baju putih dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. namun, di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan. https://bit.l"
44,netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ 01Optimis Indonesia Maju pic.twitter.com/Gudihikymw,jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiâ â€¦ 01optimis indonesia maju pic.twitter.com/gudihikymw
45,negatif,UAHUASUAHUAS ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... 2019Ganti Pengajian,uahuasuahuas ... meskipun aku di surga mungkin aku tak bahagia bahagiaku tak sempurna bila itu tanpamu... *gandeng tangan prabowo baru jadi ustad sudah yakin masuk surga.... ckckckck... salah milih guru ngaji gue... 2019ganti pengajian
46,negatif,"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi","buat anggota @kpu_id anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. gede bacot minim torehan prestasi.  cc @jokowi"
47,netral,"Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat .","gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat ."
48,netral,Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...,monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...
49,positif,"Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya. https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦","pilih orang baik pilih jelas islamnya pilih baju putih beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya. https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanâ â€¦"
50,negatif,"He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?","he, he, he, sok bijak nih antek orba! pikirkan letjen pecatan yang bilang biang kerok ekonomi indonesia adalah presiden sebelum jokowi, ada jenderal sby! gimana demokrat ngga beralih dukungan ke jokowi coba?"
51,netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/â â€¦ via @metrobali
52,netral,"gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â Pilih Orang BaikÂ Pilih Jelas IslamnyaÂ Pilih Baju Putih","gue kasih tau..beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.â https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanâ â€¦â pilih orang baikâ pilih jelas islamnyaâ pilih baju putih"
53,netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/â â€¦ via @bali netizen
54,positif,"Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah. https://bit.ly/2Zbe65vÂ Pilih Orang Baik Pilih Yg Jelas Islamnya Pilih Yg Baju Putih","dalam penjelasannya kyai @khmarufamin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi indonesia, membangun ekonomi dri bawah. https://bit.ly/2zbe65vâ pilih orang baik pilih yg jelas islamnya pilih yg baju putih"
55,positif,"Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan. https://bit.ly/2IpbIDdÂ","pilih orang baik pilih jelas islamnya pilih baju putih menterinya aja berprestasi, apalagi pemimpinnya. bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan. https://bit.ly/2ipbiddâ"
56,negatif,Populer B1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi http://brt.st/6b4KÂ,populer b1 4: jokowi: naikkan tax ratio drastis bisa guncang ekonomi http://brt.st/6b4kâ
